醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,76,2,0,2,否,2026-02-22 08:20:49
台大兒醫,0,0,0,0,否,2026-02-22 08:20:49
三總,19,1,0,4,否,2026-02-22 08:20:49
北榮,7,2,0,1,否,2026-02-22 08:20:49
台北國泰,4,2,0,2,否,2026-02-22 08:20:49
台北馬偕,16,2,0,5,否,2026-02-22 08:20:49
馬偕兒醫,-,-,-,-,否,2026-02-22 08:20:49
新光,3,2,0,0,否,2026-02-22 08:20:49
亞東,28,12,21,0,否,2026-02-22 08:20:50
台北慈濟,1,3,0,1,否,2026-02-22 08:20:50
淡水馬偕,12,4,0,6,否,2026-02-22 08:20:50
萬芳,1,2,0,0,否,2026-02-22 08:20:50
部立雙和,1,1,0,0,否,2026-02-22 08:20:50
臺大新竹,14,0,3,0,是,2026-02-22 08:20:50
林口長庚,60,8,0,3,否,2026-02-22 08:20:50
中榮,0,0,0,2,否,2026-02-22 08:20:50
彰基,1,5,0,3,否,2026-02-22 08:20:50
彰基兒醫,-,-,-,-,否,2026-02-22 08:20:50
中國兒醫,-,-,-,-,否,2026-02-22 08:20:50
中山附醫,12,3,0,0,否,2026-02-22 08:20:50
中國附醫,16,7,0,4,否,2026-02-22 08:20:50
成大,26,5,0,3,否,2026-02-22 08:20:50
永康奇美,17,8,0,3,否,2026-02-22 08:20:50
高雄榮總,19,1,0,0,否,2026-02-22 08:20:50
高雄長庚,61,6,0,12,否,2026-02-22 08:20:50
義大醫院,20,4,0,4,否,2026-02-22 08:20:50
高醫,6,1,0,2,否,2026-02-22 08:20:50
花蓮慈濟,28,1,0,0,否,2026-02-22 08:20:50
