醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,59,1,0,0,否,2026-02-16 23:47:56
台大兒醫,0,0,0,0,否,2026-02-16 23:47:56
三總,4,1,0,0,否,2026-02-16 23:47:57
北榮,7,1,0,0,否,2026-02-16 23:47:57
台北國泰,1,0,0,1,否,2026-02-16 23:47:57
台北馬偕,4,2,0,2,否,2026-02-16 23:47:57
馬偕兒醫,-,-,-,-,否,2026-02-16 23:47:57
新光,0,2,0,0,否,2026-02-16 23:47:57
亞東,17,13,30,0,是,2026-02-16 23:47:57
台北慈濟,2,0,0,0,否,2026-02-16 23:47:57
淡水馬偕,4,4,0,0,否,2026-02-16 23:47:57
萬芳,2,2,0,0,否,2026-02-16 23:47:57
部立雙和,0,1,0,0,否,2026-02-16 23:47:57
臺大新竹,8,0,0,0,否,2026-02-16 23:47:57
林口長庚,38,4,0,6,否,2026-02-16 23:47:57
中榮,3,1,0,2,否,2026-02-16 23:47:57
彰基,3,4,0,0,否,2026-02-16 23:47:57
彰基兒醫,-,-,-,-,否,2026-02-16 23:47:57
中國兒醫,-,-,-,-,否,2026-02-16 23:47:57
中山附醫,2,2,0,0,否,2026-02-16 23:47:57
中國附醫,16,10,0,0,否,2026-02-16 23:47:57
成大,29,4,0,5,否,2026-02-16 23:47:57
永康奇美,0,9,0,0,否,2026-02-16 23:47:57
高雄榮總,5,1,0,0,否,2026-02-16 23:47:57
高雄長庚,4,5,0,5,否,2026-02-16 23:47:57
義大醫院,2,0,0,0,否,2026-02-16 23:47:57
高醫,4,1,0,1,否,2026-02-16 23:47:57
花蓮慈濟,3,0,0,0,是,2026-02-16 23:47:57
