醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,39,1,0,1,否,2026-02-19 08:23:06
台大兒醫,0,0,0,0,否,2026-02-19 08:23:06
三總,13,4,0,2,否,2026-02-19 08:23:06
北榮,5,0,0,0,否,2026-02-19 08:23:06
台北國泰,1,2,0,0,否,2026-02-19 08:23:06
台北馬偕,10,14,0,1,否,2026-02-19 08:23:06
馬偕兒醫,-,-,-,-,否,2026-02-19 08:23:06
新光,0,2,0,0,否,2026-02-19 08:23:06
亞東,20,7,16,0,否,2026-02-19 08:23:06
台北慈濟,4,6,0,0,否,2026-02-19 08:23:06
淡水馬偕,12,4,0,7,否,2026-02-19 08:23:06
萬芳,2,1,0,0,否,2026-02-19 08:23:06
部立雙和,6,4,0,0,否,2026-02-19 08:23:06
臺大新竹,17,0,5,0,是,2026-02-19 08:23:06
林口長庚,62,9,0,4,否,2026-02-19 08:23:06
中榮,3,0,0,4,否,2026-02-19 08:23:06
彰基,0,3,0,3,否,2026-02-19 08:23:06
彰基兒醫,-,-,-,-,否,2026-02-19 08:23:07
中國兒醫,-,-,-,-,否,2026-02-19 08:23:07
中山附醫,1,5,0,0,否,2026-02-19 08:23:07
中國附醫,38,9,0,5,否,2026-02-19 08:23:07
成大,23,6,0,2,否,2026-02-19 08:23:07
永康奇美,5,5,0,0,否,2026-02-19 08:23:07
高雄榮總,7,4,0,1,否,2026-02-19 08:23:07
高雄長庚,33,6,0,5,否,2026-02-19 08:23:07
義大醫院,0,3,0,0,否,2026-02-19 08:23:07
高醫,29,2,0,1,否,2026-02-19 08:23:07
花蓮慈濟,4,2,0,0,否,2026-02-19 08:23:07
