醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,54,1,0,2,否,2026-02-19 03:01:57
台大兒醫,0,0,0,0,否,2026-02-19 03:01:57
三總,7,2,0,3,否,2026-02-19 03:01:57
北榮,20,1,0,3,否,2026-02-19 03:01:57
台北國泰,0,2,0,0,否,2026-02-19 03:01:57
台北馬偕,12,8,0,2,否,2026-02-19 03:01:57
馬偕兒醫,-,-,-,-,否,2026-02-19 03:01:57
新光,5,2,0,0,否,2026-02-19 03:01:57
亞東,21,7,16,0,否,2026-02-19 03:01:57
台北慈濟,13,4,0,0,否,2026-02-19 03:01:57
淡水馬偕,14,7,0,6,否,2026-02-19 03:01:57
萬芳,7,6,0,1,否,2026-02-19 03:01:57
部立雙和,2,2,0,0,否,2026-02-19 03:01:57
臺大新竹,15,1,0,2,否,2026-02-19 03:01:57
林口長庚,68,19,0,6,否,2026-02-19 03:01:57
中榮,4,2,0,2,否,2026-02-19 03:01:57
彰基,1,7,0,2,否,2026-02-19 03:01:57
彰基兒醫,-,-,-,-,否,2026-02-19 03:01:57
中國兒醫,-,-,-,-,否,2026-02-19 03:01:57
中山附醫,10,2,0,0,否,2026-02-19 03:01:57
中國附醫,39,10,0,5,否,2026-02-19 03:01:57
成大,33,7,1,2,否,2026-02-19 03:01:57
永康奇美,3,1,0,1,否,2026-02-19 03:01:57
高雄榮總,22,1,0,0,否,2026-02-19 03:01:58
高雄長庚,27,3,0,7,否,2026-02-19 03:01:58
義大醫院,0,3,0,0,否,2026-02-19 03:01:58
高醫,27,1,0,5,否,2026-02-19 03:01:58
花蓮慈濟,14,3,0,0,否,2026-02-19 03:01:58
