醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,40,2,0,0,否,2026-02-21 03:15:55
台大兒醫,0,0,0,0,否,2026-02-21 03:15:55
三總,27,1,0,5,否,2026-02-21 03:15:55
北榮,6,2,0,0,否,2026-02-21 03:15:55
台北國泰,8,0,0,3,否,2026-02-21 03:15:55
台北馬偕,26,4,0,0,否,2026-02-21 03:15:55
馬偕兒醫,-,-,-,-,否,2026-02-21 03:15:55
新光,10,1,0,0,否,2026-02-21 03:15:55
亞東,23,11,27,1,是,2026-02-21 03:15:56
台北慈濟,6,2,0,2,否,2026-02-21 03:15:56
淡水馬偕,14,2,0,3,否,2026-02-21 03:15:56
萬芳,5,2,0,0,否,2026-02-21 03:15:56
部立雙和,11,1,0,0,否,2026-02-21 03:15:56
臺大新竹,17,2,0,0,否,2026-02-21 03:15:56
林口長庚,73,9,0,4,否,2026-02-21 03:15:56
中榮,5,0,0,2,否,2026-02-21 03:15:56
彰基,0,2,0,0,否,2026-02-21 03:15:56
彰基兒醫,-,-,-,-,否,2026-02-21 03:15:56
中國兒醫,-,-,-,-,否,2026-02-21 03:15:56
中山附醫,17,1,0,1,否,2026-02-21 03:15:56
中國附醫,40,8,0,3,否,2026-02-21 03:15:56
成大,47,5,13,1,是,2026-02-21 03:15:56
永康奇美,17,5,0,1,否,2026-02-21 03:15:56
高雄榮總,17,4,0,2,否,2026-02-21 03:15:56
高雄長庚,61,0,0,10,否,2026-02-21 03:15:56
義大醫院,17,2,0,0,否,2026-02-21 03:15:56
高醫,4,2,0,1,否,2026-02-21 03:15:56
花蓮慈濟,26,1,0,0,否,2026-02-21 03:15:56
