醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,62,1,0,0,否,2026-02-17 23:56:57
台大兒醫,0,0,0,0,否,2026-02-17 23:56:57
三總,4,1,0,2,否,2026-02-17 23:56:57
北榮,9,1,0,1,否,2026-02-17 23:56:57
台北國泰,0,0,0,0,否,2026-02-17 23:56:57
台北馬偕,6,9,0,2,否,2026-02-17 23:56:57
馬偕兒醫,-,-,-,-,否,2026-02-17 23:56:57
新光,2,2,0,0,否,2026-02-17 23:56:57
亞東,16,6,17,0,否,2026-02-17 23:56:57
台北慈濟,4,0,0,0,否,2026-02-17 23:56:57
淡水馬偕,13,5,0,7,否,2026-02-17 23:56:57
萬芳,1,1,0,1,否,2026-02-17 23:56:57
部立雙和,4,1,0,0,否,2026-02-17 23:56:57
臺大新竹,10,0,0,0,否,2026-02-17 23:56:57
林口長庚,68,3,0,3,否,2026-02-17 23:56:57
中榮,4,1,0,3,否,2026-02-17 23:56:57
彰基,0,5,0,0,否,2026-02-17 23:56:57
彰基兒醫,-,-,-,-,否,2026-02-17 23:56:57
中國兒醫,-,-,-,-,否,2026-02-17 23:56:57
中山附醫,4,3,0,0,否,2026-02-17 23:56:58
中國附醫,20,8,0,3,否,2026-02-17 23:56:58
成大,21,7,0,2,否,2026-02-17 23:56:58
永康奇美,4,5,0,0,否,2026-02-17 23:56:58
高雄榮總,14,3,0,1,否,2026-02-17 23:56:58
高雄長庚,9,5,0,5,否,2026-02-17 23:56:58
義大醫院,4,2,0,0,否,2026-02-17 23:56:58
高醫,16,7,0,2,否,2026-02-17 23:56:58
花蓮慈濟,9,0,0,0,是,2026-02-17 23:56:58
